merchant,eqx_leaf,llm_consensus_leaf,dict_leaf,haiku_confidence,sonnet_confidence,plaid_n,recommended_leaf,decision,review_confidence,rationale,verification_url
tsb insurance,insurance_other,insurance_general,,0.85,0.6,12,insurance_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
savills,rent,estate_agent,,0.9,0.75,12,estate_agent,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
betuk,gambling_casino,gambling_betting,,0.8,0.85,11,gambling_betting,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
delikatesy smaczek,groceries,groceries_specialist,,0.75,0.5,11,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
hays travel,holiday_package,travel_other,,0.85,0.7,11,travel_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
krystal express,convenience_store,takeaway,,0.8,0.55,11,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
wilkinson,home_accessories,discount_store,,0.85,0.6,11,discount_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
tian tian market,groceries,groceries_specialist,,0.8,0.55,10,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
mcafee,computer_peripherals,software,,0.9,0.85,10,software,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
snapfish,printing_services,photography_services,,0.85,0.8,9,photography_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
gift company,home_accessories,gifts_flowers,,0.7,0.6,9,gifts_flowers,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
paul smith,clothing_mens,clothing_general,,0.85,0.6,8,clothing_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
aldo,clothing_general,footwear,,0.9,0.8,8,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
leasys uk ltd,car_hire,car_lease,,0.8,0.8,8,car_lease,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
fishermans rest,restaurant_cafe,pub_bar,,0.85,0.5,8,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the bottle shop,alcohol_wine,alcohol_beer_spirits,,0.85,0.7,8,alcohol_beer_spirits,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
tariq halal meats,groceries,groceries_specialist,,0.85,0.7,8,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
rangers fc,sports_participation,sports_tickets,,0.85,0.55,8,sports_tickets,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
lightinthebox,gifts_flowers,retail_tv_online_shopping,,0.85,0.6,8,retail_tv_online_shopping,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
bravissimo,gifts_flowers,clothing_womens,,0.88,0.75,7,clothing_womens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
iss food,restaurant_cafe,catering,,0.8,0.4,7,catering,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ellis brigham,sportswear,clothing_outdoor,,0.88,0.75,7,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
grab-a-bite,restaurant_cafe,takeaway,,0.8,0.5,7,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
grimsby fisheries,takeaway,groceries_specialist,,0.8,0.4,7,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the tan studio limited,health_beauty_general,beauty_treatment,,0.8,0.6,7,beauty_treatment,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
banquet records,streaming_music,physical_media,,0.85,0.6,6,physical_media,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
chip shed bourton limited,restaurant_cafe,takeaway,,0.85,0.55,6,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
planet organic,groceries,groceries_specialist,,0.85,0.6,6,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
trinity insurance,insurance_other,insurance_general,,0.88,0.6,6,insurance_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
wawel polski sklep,groceries,groceries_specialist,,0.85,0.55,6,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
delice de france,takeaway,restaurant_cafe,,0.85,0.45,6,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
online carpets,home_improvement,home_accessories,,0.85,0.55,6,home_accessories,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
principality building society,mortgage,financial_institution_unspecified,,0.9,0.7,6,financial_institution_unspecified,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the cornershop,pub_bar,convenience_store,,0.8,0.65,5,convenience_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
topshop,clothing_general,clothing_womens,,0.95,0.85,5,clothing_womens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
twyford news,convenience_store,newspapers,,0.85,0.55,5,newspapers,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
tasty plaice,restaurant_cafe,takeaway,,0.9,0.7,5,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
st vincent de paul society,charitable_donation,charity_shop,,0.9,0.6,5,charity_shop,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
freetrade,investment_general,investment_trading,,0.85,0.85,5,investment_trading,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
yumyum ltd,catering,takeaway,,0.8,0.4,5,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
st barnabas hospice,adult_care,charitable_donation,,0.85,0.6,5,charitable_donation,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
animed,pet_supplies,veterinary,,0.8,0.6,5,veterinary,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
harvey nichols,clothing_womens,department_store,,0.95,0.8,5,department_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
craft gin club,pub_bar,alcohol_beer_spirits,,0.8,0.6,5,alcohol_beer_spirits,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
lava lounge,pub_bar,night_club,,0.8,0.4,5,night_club,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
skillz esports,gambling_bingo,gaming_online,,0.8,0.6,5,gaming_online,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
stop n shop ltd,groceries,convenience_store,,0.8,0.55,5,convenience_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
arsenal fc,sports_participation,sports_tickets,,0.85,0.6,5,sports_tickets,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
rated people,home_improvement,tradesmen,,0.8,0.6,5,tradesmen,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
star pizza,restaurant_cafe,takeaway,,0.95,0.75,5,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
millsons vending,confectionary,retail_other,,0.7,0.4,5,retail_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the north face,clothing_mens,clothing_outdoor,,0.95,0.75,4,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
star fish bar,restaurant_cafe,takeaway,,0.95,0.7,4,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
countrywide residential,rent,estate_agent,,0.85,0.6,4,estate_agent,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
glasgow airport,airport_parking,airport_spend,,0.95,0.65,4,airport_spend,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
wiggleys fun farm ltd,entertainment_other,days_out,,0.85,0.6,4,days_out,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
mercato metropolitano,groceries,restaurant_cafe,,0.75,0.55,4,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ideal world,retail_small_independent,retail_tv_online_shopping,,0.85,0.65,4,retail_tv_online_shopping,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
calor gas,energy,heating_oil,,0.85,0.6,4,heating_oil,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
autotrader,vehicle_maintenance,vehicle_purchase,,0.85,0.5,4,vehicle_purchase,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
electric brixton,night_club,live_music,,0.9,0.6,4,live_music,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
pro direct sport,sports_equipment,sportswear,,0.95,0.7,4,sportswear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
premier man,clothing_general,clothing_mens,,0.9,0.6,4,clothing_mens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the orange tree,restaurant_cafe,pub_bar,,0.85,0.5,4,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
punch bowl,restaurant_cafe,pub_bar,,0.75,0.65,4,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
avg,it_services,software,,0.85,0.6,4,software,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
brass monkey,restaurant_cafe,pub_bar,,0.75,0.5,4,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
beauty works,skin_hair_care,beauty_treatment,,0.75,0.55,4,beauty_treatment,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
birmingham airport,airport_parking,airport_spend,,0.9,0.7,4,airport_spend,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
woolwich,mortgage,financial_institution_unspecified,,0.85,0.6,4,financial_institution_unspecified,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
habitat,home_improvement,home_accessories,,0.85,0.7,4,home_accessories,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
tiso,sports_equipment,clothing_outdoor,,0.8,0.6,4,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
thai express,restaurant_cafe,takeaway,,0.85,0.6,3,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
greensquareaccord,property_management,housing_other,,0.75,0.5,3,housing_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
euphorium bakery,groceries,restaurant_cafe,,0.8,0.6,3,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ashbourne membership management,gym_fitness,memberships,,0.7,0.65,3,memberships,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
spicerhaart,rent,estate_agent,,0.85,0.8,3,estate_agent,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
lily's kitchen,restaurant_cafe,pet_supplies,,0.8,0.7,3,pet_supplies,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
reeds rains,rent,estate_agent,,0.9,0.85,3,estate_agent,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
best meat,groceries,groceries_specialist,,0.8,0.5,3,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
polani travel,luggage_travel_goods,travel_other,,0.7,0.5,3,travel_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
collectables,jewellery,retail_other,,0.6,0.4,3,retail_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
west bromwich building society,mortgage,financial_institution_unspecified,,0.9,0.75,3,financial_institution_unspecified,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
jin bo law uk limited,pub_bar,legal_services,,0.85,0.6,3,legal_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ics learn,home_learning,education_general,,0.72,0.6,3,education_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the sheaf island,restaurant_cafe,pub_bar,,0.68,0.5,3,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
flair afro cosmetics,retail_other,skin_hair_care,,0.8,0.6,3,skin_hair_care,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
corgi homeplan,insurance_other,insurance_home,,0.85,0.6,3,insurance_home,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the real china,foreign_spend_unspecified,restaurant_cafe,,0.78,0.6,3,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
cashplus,prepaid_card,financial_institution_unspecified,,0.7,0.5,3,financial_institution_unspecified,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
stonewater ltd,rent,housing_other,,0.7,0.5,3,housing_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
livecareer,web_services,career_services,,0.78,0.7,3,career_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
super save,convenience_store,discount_store,,0.72,0.4,3,discount_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
county mall news,convenience_store,newspapers,,0.75,0.5,3,newspapers,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
school uniform direct,education_general,clothing_childrens,,0.85,0.7,3,clothing_childrens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
emigrantas tv,broadband_tv_phone,streaming_music,,0.65,0.4,3,streaming_music,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
sweaty betty,clothing_womens,sportswear,,0.88,0.85,3,sportswear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
jigsaw homes,property_management,housing_other,,0.75,0.5,3,housing_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
namaste asian kitchen,takeaway,restaurant_cafe,,0.82,0.6,3,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
pactcoffee,restaurant_cafe,groceries_specialist,,0.78,0.6,3,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
interactive investor,investment_general,investment_trading,,0.82,0.85,3,investment_trading,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
angel advance limited,debt_management_plan,payday_loan,,0.75,0.5,3,payday_loan,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
yew tree mini market,groceries,convenience_store,,0.78,0.6,3,convenience_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
a&f bargains ltd,home_improvement,discount_store,,0.75,0.5,3,discount_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the white rose,restaurant_cafe,pub_bar,,0.7,0.5,3,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
atlassian,it_services,software,,0.95,0.85,3,software,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ultrasound direct,family_services,health_other,,0.7,0.65,3,health_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the beer emporium,pub_bar,alcohol_beer_spirits,,0.85,0.65,2,alcohol_beer_spirits,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
lacoste,jewellery,clothing_general,,0.85,0.7,2,clothing_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
traid,clothing_general,charity_shop,,0.85,0.7,2,charity_shop,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
residential management group,rent,property_management,,0.7,0.6,2,property_management,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
we buy any car,vehicle_maintenance,vehicle_purchase,,0.9,0.75,2,vehicle_purchase,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
suprplay,gambling_casino,gaming_online,,0.65,0.4,2,gaming_online,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
volcano coffee works,groceries,restaurant_cafe,,0.75,0.55,2,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
elemis,health_beauty_general,skin_hair_care,,0.85,0.8,2,skin_hair_care,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
parklands country club,days_out,private_members_club,,0.8,0.5,2,private_members_club,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
willow wood hospice,adult_care,charitable_donation,,0.8,0.65,2,charitable_donation,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
triple point brewing,pub_bar,alcohol_beer_spirits,,0.8,0.5,2,alcohol_beer_spirits,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
uk usa eliquids ltd,tobacco,vaping,,0.85,0.85,2,vaping,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
absolute music,musical_instruments,music_other,,0.7,0.55,2,music_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
top wok,restaurant_cafe,takeaway,,0.75,0.6,2,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
baba jaga,groceries,restaurant_cafe,,0.7,0.45,2,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
findmeagift,baby_products,gifts_flowers,,0.75,0.8,2,gifts_flowers,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
dr martens,clothing_general,footwear,,0.9,0.85,2,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the beauty room,health_beauty_general,beauty_treatment,,0.75,0.7,2,beauty_treatment,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
emmaus,charitable_donation,charity_shop,,0.8,0.75,2,charity_shop,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
kcom,it_services,broadband_tv_phone,,0.8,0.8,2,broadband_tv_phone,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
revolution skatepark,days_out,sports_participation,,0.8,0.55,2,sports_participation,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
leigh sports village,gym_fitness,sports_participation,,0.75,0.55,2,sports_participation,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
missguided,clothing_general,clothing_womens,,0.85,0.8,2,clothing_womens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
workwear express,clothing_general,clothing_workwear,,0.85,0.75,2,clothing_workwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
health express,medicine,pharmacy,,0.75,0.55,2,pharmacy,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
triple s caterers,takeaway,catering,,0.8,0.65,2,catering,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
sandwi on the go ltd,restaurant_cafe,takeaway,,0.7,0.5,2,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
daniel footwear,clothing_general,footwear,,0.85,0.8,2,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
office shoes,clothing_general,footwear,,0.85,0.8,2,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the bedford,accommodation,pub_bar,,0.7,0.5,2,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
scrumbles,veterinary,pet_supplies,,0.8,0.4,1,pet_supplies,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
castle community bank,credit_union_repayment,financial_institution_unspecified,,0.7,0.4,1,financial_institution_unspecified,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
horniman at hays,pub_bar,restaurant_cafe,,0.8,0.4,1,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the stand comedy club,theatre,live_music,,0.85,0.4,1,live_music,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
herbalife,health_beauty_general,supplements,,0.8,0.6,1,supplements,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
infinity foods,groceries,groceries_specialist,,0.8,0.5,1,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
poynton pakora,restaurant_cafe,takeaway,,0.85,0.55,1,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
venn street records,pub_bar,physical_media,,0.85,0.5,1,physical_media,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
afro shop emma limited,groceries,retail_small_independent,,0.7,0.4,1,retail_small_independent,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
vetsure,veterinary,insurance_pet,,0.85,0.7,1,insurance_pet,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
marquess of anglesey,restaurant_cafe,pub_bar,,0.8,0.5,1,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the water margin,pub_bar,restaurant_cafe,,0.8,0.45,1,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
just drinks 4u uk ltd,groceries,alcohol_beer_spirits,,0.85,0.4,1,alcohol_beer_spirits,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
express chemist,medicine,pharmacy,,0.85,0.6,1,pharmacy,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
secc arena,days_out,live_music,,0.8,0.5,1,live_music,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the volunteer tavern,restaurant_cafe,pub_bar,,0.85,0.55,1,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
terrys fabrics,home_improvement,home_accessories,,0.8,0.5,1,home_accessories,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ripped knees,sports_equipment,clothing_general,,0.75,0.3,1,clothing_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
savers health,skin_hair_care,pharmacy,pharmacy,0.9,0.7,1,pharmacy,both_agree,high,LLM and dictionary already agree,
temptation gifts,jewellery,gifts_flowers,,0.8,0.55,1,gifts_flowers,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
charlotte tilbury,beauty_treatment,skin_hair_care,,0.85,0.65,1,skin_hair_care,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
pockit,transfer_bank_unspecified,prepaid_card,,0.8,0.6,1,prepaid_card,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
musto,sports_equipment,clothing_outdoor,,0.85,0.6,1,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
black cat travel ltd,public_transport_rail_coach,travel_other,,0.6,0.5,1,travel_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
knickerbox,gifts_flowers,clothing_womens,,0.85,0.75,1,clothing_womens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
great ormond street hospital,charitable_donation,hospital,,0.95,0.85,1,hospital,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
paperchase,gifts_flowers,stationery,,0.9,0.85,1,stationery,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
discovery cove,holiday_package,days_out,,0.8,0.6,1,days_out,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
global exchange,transfer_international,foreign_currency,,0.7,0.6,1,foreign_currency,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the cash shop,payday_loan,pawnbroker,,0.8,0.5,1,pawnbroker,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ugg australia,clothing_general,footwear,,0.9,0.85,1,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
bestway,groceries,cash_and_carry,,0.85,0.75,1,cash_and_carry,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
