normalised_merchant,detailed_category,confidence,source,review_status,notes
herbalife,supplements,high,gating_adjudication,approved,
infinity foods,groceries_specialist,high,gating_adjudication,approved,
vetsure,insurance_pet,high,gating_adjudication,approved,
marquess of anglesey,pub_bar,high,gating_adjudication,approved,
the water margin,restaurant_cafe,high,gating_adjudication,approved,
just drinks 4u uk ltd,alcohol_beer_spirits,high,gating_adjudication,approved,
express chemist,pharmacy,high,gating_adjudication,approved,
the volunteer tavern,pub_bar,high,gating_adjudication,approved,
terrys fabrics,home_accessories,high,gating_adjudication,approved,
temptation gifts,gifts_flowers,high,gating_adjudication,approved,
charlotte tilbury,skin_hair_care,high,gating_adjudication,approved,
pockit,prepaid_card,high,gating_adjudication,approved,
knickerbox,clothing_womens,high,gating_adjudication,approved,
paperchase,stationery,high,gating_adjudication,approved,
discovery cove,days_out,high,gating_adjudication,approved,
global exchange,foreign_currency,high,gating_adjudication,approved,
ugg australia,footwear,high,gating_adjudication,approved,
bestway,cash_and_carry,high,gating_adjudication,approved,
school days direct,clothing_childrens,high,gating_adjudication,approved,
dune,footwear,high,gating_adjudication,approved,
palmers quality butchers,groceries_specialist,high,gating_adjudication,approved,
berghaus,clothing_outdoor,high,gating_adjudication,approved,
europa delikatesy,groceries_specialist,high,gating_adjudication,approved,
falafel stop,takeaway,high,gating_adjudication,approved,
all that falafel,takeaway,high,gating_adjudication,approved,
base london,footwear,high,gating_adjudication,approved,
e.leclerc,groceries,high,gating_adjudication,approved,
the world's end,pub_bar,high,gating_adjudication,approved,
dawat-e-islami uk,charitable_donation,high,gating_adjudication,approved,
a & s outdoor ltd,clothing_outdoor,high,gating_adjudication,approved,
easyjet holidays,holiday_package,high,gating_adjudication,approved,
escentual,fragrances,high,gating_adjudication,approved,
rocket dog,footwear,high,gating_adjudication,approved,
ogmore valley store ltd,convenience_store,high,gating_adjudication,approved,
zenfolio,photography_services,high,gating_adjudication,approved,
rajapack,office_supplies,high,gating_adjudication,approved,
char.gy,fuel,high,gating_adjudication,approved,
j d sport,sportswear,high,gating_adjudication,approved,
cross foxes,pub_bar,high,gating_adjudication,approved,
home group,rent,high,gating_adjudication,approved,Housing-association payment is most plausibly rent; neither candidate captures the transaction purpose.
fruugo,marketplace_amazon,high,gating_adjudication,approved,"Fruugo is a multi-seller online marketplace, so marketplace_amazon is the closest taxonomy leaf."
skillz esports,gambling_unspecified,high,gating_adjudication,approved,Paid-entry skill-gaming platform; the taxonomy boundary between online gaming and gambling needs policy confirmation.
autotrader,advertising_services,high,gating_adjudication,approved,"Auto Trader payments are typically vehicle-listing/advertising fees, not a vehicle purchase or maintenance."
greensquareaccord,rent,high,gating_adjudication,approved,Housing-association payment is most plausibly rent; neither candidate captures the transaction purpose.
14forty,catering,medium,gold_v2_review,approved,"£2 at 14forty The Fire Service College is Compass workplace catering, not facilities-management rent."
activities away,experience_days,medium,gold_v2_review,approved,Activities Away provides bookable outdoor and water-sports experiences.
adt home security,home_accessories,medium,gold_v2_review,approved,"Final human adjudication: home_accessories. ADT Home Security debit; household, home-security, or home accessory purchase. Narrative: ADT - OIN ACCOUNT. Native category: Shopping (Discretionary) | Gadgets and Gizmos. Provider: equifax. Luna votes: home_accessories / home_repair / home_accessories."
advantage finance,car_finance_repayment,medium,gold_v2_review,approved,Advantage Finance is a motor-finance lender.
adz lawro,unclassified_other,medium,gold_v2_review,approved,Merchant descriptor is too abbreviated to classify reliably.
afsl,personal_loan_repayment,medium,gold_v2_review,approved,AFSL is Admiral Financial Services Ltd / Admiral Money unsecured personal loans. £423.84 is a typical monthly instalment.
age uk,charity_shop,medium,gold_v2_review,approved,Small Age UK point-of-sale purchase is most consistent with a charity shop.
agp la manon,foreign_spend_unspecified,medium,gold_v2_review,approved,Final human adjudication: foreign_spend_unspecified. Agp La Manon debit; foreign spend unspecified is the best matching transaction function. Narrative: AGP LA MANON 5211 SPAIN AMOUNT IN EUR 5.15 ON 25 JUL VISA 1.14817 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.13. Luna votes: restaurant_cafe / foreign_spend_unspecified / foreign_spend_unspecified.
air serv,vehicle_maintenance,medium,gold_v2_review,approved,Final human adjudication: vehicle_maintenance. Air Serv debit; automotive dealer/maintenance transaction. Narrative: Nya*air-Serv Nya*air-serv. Native category: Automotive | Garages and Parts. Provider: equifax. Merchant identity was checked against the linked source. Luna votes: vehicle_maintenance / vehicle_maintenance / carwash. Sources: https://air-serv.co.uk/
al fateh superstore,groceries_specialist,medium,gold_v2_review,approved,Final human adjudication: groceries_specialist. Merchant evidence identifies a specialist or world-food grocery store. Luna votes: groceries_specialist / groceries_specialist / groceries.
albert,savings_transfer,medium,gold_v2_review,approved,Narrative explicitly says withdrawing savings.
aldos,unclassified_other,medium,gold_v2_review,approved,Final human adjudication: unclassified_other. Aldos debit; merchant/function is not identifiable from the available evidence. Narrative: Aldos )))). Native category: BANK_FEES_OTHER_BANK_FEES. Provider: plaid. Luna votes: unclassified_other / unclassified_other / unclassified_other.
angel hill,restaurant_cafe,medium,gold_v2_review,approved,"Final human adjudication: restaurant_cafe. Merchant evidence identifies a cafe, restaurant, or food venue. Luna votes: restaurant_cafe / restaurant_cafe / unclassified_other."
apetito,catering,medium,gold_v2_review,approved,Large direct debit to Apetito is consistent with its prepared-meal catering service.
apple store,computing_devices,medium,gold_v2_review,approved,Apple Store and electronics native category indicate a hardware purchase.
armed forces,restaurant_cafe,medium,gold_v2_review,approved,"Final human adjudication: restaurant_cafe. Merchant evidence identifies a cafe, restaurant, or food venue. Luna votes: restaurant_cafe / restaurant_cafe / unclassified_other."
ashbourne manageme,gym_fitness,medium,gold_v2_review,approved,"Ashbourne Membership Management collects gym/health-club direct debits only. Unlike Allpay, the underlying product is known."
assurant auk,insurance_other,medium,gold_v2_review,approved,Assurant commonly provides device/protection insurance; no more specific insurance leaf applies.
atkins school of m,driving_tuition,medium,gold_v2_review,approved,Atkins School of M is a truncated School of Motoring descriptor.
attendance allowance,unclassified_other,medium,gold_v2_review,approved,£0.01 debit (DWP AA Pending …) cannot be receiving Attendance Allowance. benefits_state is income.
babyclinic,health_other,medium,gold_v2_review,approved,"Babyclinic and primary-care native category indicate a clinic service, not a retail baby product."
barnardo's,charity_shop,medium,gold_v2_review,approved,"Final human adjudication: charity_shop. This is a card purchase at a charity's retail operation, not a donation instruction. Luna votes: charitable_donation / charitable_donation / charitable_donation."
bates house & gard,garden,medium,gold_v2_review,approved,Bates House & Garden is a house-and-garden retailer.
bavaria motors,vehicle_maintenance,medium,gold_v2_review,approved,Motor-business payment lacks enough detail to distinguish servicing from other maintenance.
bb-samsung,unclassified_other,medium,gold_v2_review,approved,BB-Samsung Germany cannot be resolved confidently from the merchant and amount.
beagle,pub_bar,medium,gold_v2_review,approved,Final human adjudication: pub_bar. Beagle debit; pub or bar transaction. Narrative: Beagle Sheffield. Native category: GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES. Provider: plaid. Luna votes: pub_bar / pub_bar / unclassified_other.
beauty box,beauty_treatment,medium,gold_v2_review,approved,£30 Beauty Box charge and personal-care native category are most consistent with a salon treatment.
beenetwork,public_transport_rail_coach,medium,gold_v2_review,approved,beenetwork.com is Transport for Greater Manchester's bus/tram fare service.
bermuda club,private_members_club,medium,gold_v2_review,approved,The Bermuda Club is a social/leisure club; the small payment is club spend rather than lodging.
berwick lc,gym_fitness,medium,gold_v2_review,approved,LC stands for Leisure Centre here
better,gym_fitness,medium,gold_v2_review,approved,"better.org.uk is the Better leisure-centre network, not a donation site."
bigdug,home_improvement,medium,gold_v2_review,approved,"Final human adjudication: home_improvement. Merchant evidence identifies building, plumbing, hardware, or home-improvement goods. Luna votes: tools / home_accessories / home_improvement."
bizlend ltd,business_loan_repayment,medium,gold_v2_review,approved,Bizlend is a business lender.
bjs of ringwood,unclassified_other,medium,gold_v2_review,approved,BJS of Ringwood could not be resolved confidently from the descriptor.
blackpool council,government_services,medium,gold_v2_review,approved,Small Blackpool Council payment has no evidence that it is council tax.
blackwater & grubb,restaurant_cafe,medium,gold_v2_review,approved,"Final human adjudication: restaurant_cafe. Merchant evidence identifies a cafe, restaurant, or food venue. Luna votes: water / water / restaurant_cafe. Sources: https://find-and-update.company-information.service.gov.uk/company/12905805 https://www.thehousesandbach.co.uk/about"
bmac nicholls limavady,unclassified_other,medium,gold_v2_review,approved,"Final human adjudication: unclassified_other. Bmac Nicholls Limavady debit; merchant/function is not identifiable from the available evidence. Narrative: BMAC NICHOLLS LIMAVADY, E070504 -511567. Native category: TRANSFER_OUT_CHECKS_AND_ATM. Provider: plaid. Luna votes: unclassified_other / unclassified_other / unclassified_other."
bonprix,clothing_general,medium,gold_v2_review,approved,Final human adjudication: clothing_general. The visible underlying merchant is a clothing/accessories retailer. Luna votes: clothing_general / clothing_general / clothing_womens.
bounce no1 ltd,days_out,medium,gold_v2_review,approved,Bounce is a social ping-pong/leisure venue.
brandedvendingltd,confectionary,medium,gold_v2_review,approved,Small vending-machine purchase; product is not specified.
brivio,unclassified_other,medium,gold_v2_review,approved,Brivio name maps to several unrelated businesses; no exact merchant match was reliable.
bt group,dividend_received,medium,gold_v2_review,approved,Credit from BT Group with dividends native category is consistent with a dividend.
buisness,health_other,medium,gold_v2_review,approved,Narrative identifies Phoenix Healthcare; exact medical product or service is unclear.
bumper,savings_transfer,medium,gold_v2_review,approved,Final human adjudication: savings_transfer. The narrative identifies an internal pot/savings movement. Luna votes: car_finance_repayment / car_finance_repayment / car_finance_repayment.
buyrite,groceries,medium,gold_v2_review,approved,Final human adjudication: groceries. The underlying merchant is a supermarket or symbol-group grocery retailer. Luna votes: groceries / groceries / unclassified_other.
cambrian credit union,loan_disbursement,medium,gold_v2_review,approved,Final human adjudication: loan_disbursement. Credit from a lender/finance provider is money received rather than a repayment debit. Luna votes: loan_disbursement / loan_disbursement / credit_union_repayment.
canterbury city intern,education_general,medium,gold_v2_review,approved,Canterbury City International is associated with education; £400 is consistent with an education payment.
carbon,confectionary,medium,gold_v2_review,approved,Final human adjudication: confectionary. The small vending transaction is for snacks/confectionery. Luna votes: confectionary / groceries / convenience_store.
carphone warehouse,mobile_phone_contract,medium,gold_v2_review,approved,Final human adjudication: mobile_phone_contract. Carphone Warehouse debit; mobile phone contract is the best matching transaction function. Narrative: CARPHONE WAREHOUSE ************7044 DDR Carphone Warehouse. Luna votes: mobile_handset / mobile_phone_contract / mobile_phone_contract.
cash box credit union,loan_disbursement,medium,gold_v2_review,approved,Final human adjudication: loan_disbursement. Credit from a lender/finance provider is money received rather than a repayment debit. Luna votes: loan_disbursement / loan_disbursement / credit_union_repayment.
castle leisure ltd,gambling_bingo,medium,gold_v2_review,approved,Castle Leisure Ltd operates Castle Bingo (SIC 92000).
cd aberdeen berryden,sportswear,medium,gold_v2_review,approved,Descriptor is Sports Direct Aberdeen Berryden (phone 0343 909 2793). The same gold file already labels Sports Direct as sportswear.
cd afro,groceries_specialist,medium,gold_v2_review,approved,Final human adjudication: groceries_specialist. Merchant evidence identifies a specialist or world-food grocery store. Luna votes: groceries_specialist / health_beauty_general / restaurant_cafe. Sources: https://blocl.uk/eats/afrocrest-afro-caribean-and-asian-store-1766619
cd aylesbury,sports_participation,medium,gold_v2_review,approved,Final human adjudication: sports_participation. The charge is for participation in a virtual/physical sport rather than passive media. Luna votes: sports_participation / sports_participation / sports_tickets.
cd big saver,convenience_store,medium,gold_v2_review,approved,convenience_store
cd evology,car_parking,medium,gold_v2_review,approved,Evology is a parking payment service; kiosk descriptor and Chorley address support parking.
cd hi5 retail,convenience_store,medium,gold_v2_review,approved,"Hi5 Retail Ltd (SIC 47110) is a Wirral food/tobacco shop, not general merchandise retail_other."
cd megapos,payment_intermediary,medium,gold_v2_review,approved,"Mega POS Ltd is an Electronic Point of Sale (EPOS) software and hardware provider based in Blackburn, UK (Company #13784099)."
cd mieszko,groceries_specialist,medium,gold_v2_review,approved,Mieszko is a Polish food shop rather than a restaurant.
cd thomsonfly,restaurant_cafe,medium,gold_v2_review,approved,"THOMSONFLY HANGER 61 LUTON £4.35 is workplace/canteen card spend, not airfare."
cdc revs,council_tax,medium,gold_v2_review,approved,CDC REVS is a council revenues direct debit; student-loan category is unsupported.
cheltenham & gloucester,car_parking,medium,gold_v2_review,approved,Saba UK is a parking operator; mortgage classification came from a misleading merchant label.
child support agency,family_services,medium,gold_v2_review,approved,CSA payment is child maintenance/family support; income category contradicts debit direction.
circuit go,laundry,medium,gold_v2_review,approved,Circuit Go is a managed laundry-payment platform.
city ink refills,printing_supplies,medium,gold_v2_review,approved,City Ink Refills is explicitly an ink-supplies merchant.
ck cities cd,unclassified_card_spend,medium,gold_v2_review,approved,Final human adjudication: unclassified_card_spend. The record is a card purchase but the merchant purpose is not identifiable. Luna votes: unclassified_card_spend / unclassified_card_spend / unclassified_other.
coaliment,groceries,medium,gold_v2_review,approved,Coaliment is a Spanish supermarket/convenience-food chain.
complet,memberships,medium,gold_v2_review,approved,"WLY*COMPLET ESAVE.CO.UK £18 is Complete Savings (Webloyalty cashback membership), not a savings pot. Batch 1 used memberships for this merchant."
complete savings,memberships,medium,gold_v2_review,approved,Complete Savings is a paid cashback-membership service.
completesave,memberships,medium,gold_v2_review,approved,Complete Savings is a paid cashback-membership service.
completesave.co.uk,memberships,medium,gold_v2_review,approved,Final human adjudication: memberships. The charge is a paid cashback membership service. Luna votes: online_services / memberships / online_services.
credit,revolving_credit_repayment,medium,gold_v2_review,approved,Narrative explicitly identifies PayPal Credit repayment; PayPal Credit is a revolving credit line.
curve,financial_services_other,medium,gold_v2_review,approved,Final human adjudication: financial_services_other. The merchant is a financial service and the transaction is not merely a payment rail. Luna votes: financial_services_other / payment_intermediary / payment_intermediary. Sources: https://www.curve.com/en-gb/
daniel hill loan,personal_loan_repayment,medium,gold_v2_review,approved,Narrative explicitly states LOAN and the native category is personal-loan payment.
decorum vending,confectionary,medium,gold_v2_review,approved,Small vending-machine purchase; no evidence the item was specifically confectionery.
dell,convenience_store,medium,gold_v2_review,approved,"Final human adjudication: convenience_store. DELL debit; corner-shop/newsagent/convenience purchase. Narrative: PIXIE DELL STORES ON 26 APR CPM. Native category: Shopping (Discretionary) | Computers, Laptops and Tablets. Provider: equifax. Merchant identity was checked against the linked source. Luna votes: convenience_store / computing_devices / computing_devices. Sources: https://pixiedellstore.weebly.com/"
dha,savings_transfer,medium,gold_v2_review,approved,Narrative identifies a main savings transfer; debit direction rules out dividend income.
dial a tv,retail_finance_repayment,medium,gold_v2_review,approved,"Final human adjudication: retail_finance_repayment. Merchant, narrative, amount, direction, and taxonomy fit support retail_finance_repayment. Luna votes: broadband_tv_phone / broadband_tv_phone / retail_tv_online_shopping."
diamond discounts an,discount_store,medium,gold_v2_review,approved,Merchant name indicates a discount retailer; interest native category is spurious.
digital,marketplace_amazon,medium,gold_v2_review,approved,"Final human adjudication: marketplace_amazon. The visible underlying merchant is Amazon, so the intermediary is not the final category. Luna votes: bnpl / bnpl / bnpl."
dimond stores,convenience_store,medium,gold_v2_review,approved,Merchant name indicates a local store.
dixons travel,electrical_goods,medium,gold_v2_review,approved,Final human adjudication: electrical_goods. The visible underlying merchant is an electronics retailer. Luna votes: bnpl / bnpl / bnpl.
dpas,dentist,medium,gold_v2_review,approved,DPAS administers dental payment plans.
dvsa,driving_tuition,medium,gold_v2_review,approved,£62 DVSA charge matches a driving-test payment; driving_tuition is the closest valid leaf.
e fuels,energy,medium,gold_v2_review,approved,Final human adjudication: energy. E Fuels debit; gas/electricity supplier payment. Narrative: WWW.E.ORG. Native category: RENT_AND_UTILITIES_OTHER_UTILITIES. Provider: plaid. Merchant identity was checked against the linked source. Luna votes: energy / energy / fuel. Sources: https://e.org/
early to late,convenience_store,medium,gold_v2_review,approved,Final human adjudication: convenience_store. Early To Late debit; corner-shop/newsagent/convenience purchase.. Native category: LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT. Provider: plaid. Luna votes: convenience_store / convenience_store / unclassified_other. Sources: https://www.premier-stores.co.uk/index.php/our-stores/early-late
easipay carpets,home_accessories,medium,gold_v2_review,approved,Easipay Carpets is a flooring/home-furnishing merchant.
east yorkshire mot,public_transport_rail_coach,medium,gold_v2_review,approved,East Yorkshire Motor Services is a bus operator; MOT was inferred from the name fragment.
electronic first fz ll,gaming_console_pc,medium,gold_v2_review,approved,Electronic First sells digital game keys and gaming subscriptions.
elfin market,financial_services_other,medium,gold_v2_review,approved,Final human adjudication: financial_services_other. The merchant is a financial service and the transaction is not merely a payment rail. Luna votes: financial_services_other / financial_services_other / unclassified_other.
emap,magazines,medium,gold_v2_review,approved,EMAP is a magazine and business-media publisher.
equans ev,fuel,medium,gold_v2_review,approved,"Final human adjudication: fuel. Equans Ev debit; forecourt, fuel, or EV charging transaction. Narrative: CARD PAYMENT TO EQUANS EV SOLUTIONS LI ON 17-06-2025. Native category: GENERAL_SERVICES_CONSULTING_AND_LEGAL_SERVICES. Provider: plaid. Luna votes: fuel / fuel / unclassified_other. Sources: https://equans.co.uk/what-we-do/ev-solutions"
eurl cristal,unclassified_other,medium,gold_v2_review,approved,Final human adjudication: unclassified_other. Eurl Cristal debit; merchant/function is not identifiable from the available evidence. Narrative: NYA*EURL CRISTAL. Native category: GENERAL_SERVICES_OTHER_SERVICES. Provider: plaid. Luna votes: unclassified_other / unclassified_other / unclassified_other.
euro plus,unclassified_card_spend,medium,gold_v2_review,approved,Euro Plus and travel native category indicate a currency-related travel transaction; evidence is limited.
excelvendingltd,confectionary,medium,gold_v2_review,approved,Small vending-machine purchase; product is not specified.
exeter city council,unclassified_card_spend,medium,gold_v2_review,approved,£6.50 Zettle card-reader tap. Council tax is not collected this way; function cannot be identified so unclassified_card_spend is honest.
fanatics-intl,sportswear,medium,gold_v2_review,approved,Fanatics mainly sells sports apparel and fan clothing rather than participation equipment.
farmer autocare musselbu,vehicle_maintenance,medium,gold_v2_review,approved,Garage payment lacks enough detail to distinguish servicing from other maintenance.
fearns,unclassified_other,medium,gold_v2_review,approved,Final human adjudication: unclassified_other. Fearns debit; merchant/function is not identifiable from the available evidence. Narrative: Sq *fearns. Native category: GENERAL_MERCHANDISE_FURNITURE_AND_HARDWARE. Provider: plaid. Luna votes: unclassified_other / unclassified_other / unclassified_other.
feast fare,catering,medium,gold_v2_review,approved,Final human adjudication: catering. Merchant evidence identifies a catering or mobile food-service operator. Luna votes: restaurant_cafe / restaurant_cafe / catering. Sources: https://feast-sandwich-vans.co.uk/business-buffet/
festival republic,live_music,medium,gold_v2_review,approved,Festival Republic is a live-music festival promoter.
fhr,unclassified_other,medium,gold_v2_review,approved,Final human adjudication: unclassified_other. FHR credit; merchant/function is not identifiable from the available evidence. Narrative: ************0437 FHR FT. Native category: Transfers / Other | Airport Parking. Provider: equifax. Luna votes: unclassified_other / unclassified_other / unclassified_other.
filler warehouse,health_beauty_general,medium,gold_v2_review,approved,Filler Warehouse sells professional aesthetic/beauty products.
first call,services_unspecified,medium,gold_v2_review,approved,"Final human adjudication: services_unspecified. First Call debit; service is named but no narrower taxonomy leaf is supported. Narrative: First Call Cs Ltd, DE7XFBS. Native category: Services | Contract Services. Provider: equifax. Luna votes: services_unspecified / services_unspecified / services_unspecified."
first choice,home_improvement,medium,gold_v2_review,approved,"FIRST CHOICE HARDW £4.50 contactless is a hardware shop, not TUI First Choice holidays."
first choice off lice,alcohol_beer_spirits,medium,gold_v2_review,approved,Merchant is explicitly an off licence.
firstclear ltd,gambling_unspecified,medium,gold_v2_review,approved,"Final human adjudication: gambling_unspecified. Merchant research identifies an online gambling operator, but no reliable subtype is shown. Luna votes: gambling_unspecified / accountancy / income_other_unspecified. Sources: https://www.kindredgroup.com/globalassets/documents/investor-relations-related-documents/2005-annual-report-1.pdf https://modern-slavery-statement-registry.service.gov.uk/statement-summary/CVVD59qJ/2022"
five bites,takeaway,medium,gold_v2_review,approved,Five Bites appears to be a food takeaway; the narrative does not indicate table service.
flix,unclassified_card_spend,medium,gold_v2_review,approved,"FLIX is the FlixBus card descriptor, not a streaming subscription. £10.48 is a typical coach fare."
footasylum,footwear,medium,gold_v2_review,approved,Footasylum is the clear underlying footwear merchant despite Klarna routing.
frasers group plc,retail_finance_repayment,medium,gold_v2_review,approved,"FRASERS GROUP FINA via TrueLayer is Frasers Plus / group finance, not a clothing till sale."
frontrow entertainment nicosia,pub_bar,medium,gold_v2_review,approved,Frontrow Entertainment operates a Nicosia bar/restaurant business; gambling evidence is absent.
go local extra,convenience_store,medium,gold_v2_review,approved,Go Local Extra is a convenience-store fascia.
gurujee's limited,unclassified_other,medium,gold_v2_review,approved,Gurujee's Limited could not be tied confidently to a specific product or service from this narrative.
hame,unclassified_other,medium,gold_v2_review,approved,Final human adjudication: unclassified_other. Hame debit; merchant/function is not identifiable from the available evidence. Narrative: WREXHAMECOM CD 9418. Native category: TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS. Provider: plaid. Luna votes: unclassified_other / unclassified_other / unclassified_other.
hampshire county counc,government_services,medium,gold_v2_review,approved,"Hampshire County Council does not bill council tax (districts do). £5 is a county service fee, not a CT instalment."
hazard creation,unclassified_other,medium,gold_v2_review,approved,Underlying PayPal merchant Hazard Creation could not be resolved confidently.
hm courts service,government_services,medium,gold_v2_review,approved,"Final human adjudication: government_services. The payee is a government court/service body, not a private law firm. Luna votes: legal_services / legal_services / government_services. Sources: https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service"
hollybush nurseries,garden,medium,gold_v2_review,approved,"Hollybush Nurseries Ltd, Wolverhampton is a garden centre, not childcare."
hollywood bowl,days_out,medium,gold_v2_review,approved,Hollywood Bowl is a leisure attraction.
hp,printing_supplies,medium,gold_v2_review,approved,HP Instant Ink is an ink-supply subscription.
hpi,printing_supplies,medium,gold_v2_review,approved,HP Instant Ink is an ink-supply subscription.
hpi instant ink uk,printing_supplies,medium,gold_v2_review,approved,HP Instant Ink is an ink-supply subscription.
hpincuklimi,printing_supplies,medium,gold_v2_review,approved,PAYPAL *HPINCUKLIMI is HP Instant Ink. Label the underlying merchant.
hybridworld ltd,spares_repairs,medium,gold_v2_review,approved,Narrative explicitly identifies an i10 airbag purchase/repair.
iduk.co.uk,online_services,medium,gold_v2_review,approved,"iduk.co.uk is Identity UK, an identity-protection subscription, not a hidden-shop payment rail."
in hand,pub_bar,medium,gold_v2_review,approved,"BOWL IN HAND MANSFIELD is a Phoenix/Marston’s pub, not bowling."
iris pimlico london,restaurant_cafe,medium,gold_v2_review,approved,"Final human adjudication: restaurant_cafe. Merchant evidence identifies a cafe, restaurant, or food venue. Luna votes: restaurant_cafe / convenience_store / restaurant_cafe. Sources: https://www.warwicksquarepimlico.co.uk/restaurant-reviews/ https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d24058876-Reviews-Iris-London_England.html"
ivanhoe wmc,pub_bar,medium,gold_v2_review,approved,Ivanhoe WMC is most plausibly a working men's club bar purchase.
j&f consulting ltd,business_services,medium,gold_v2_review,approved,J&F Consulting is identifiable as consultancy; no evidence indicates legal work.
jd terrace,rent,medium,gold_v2_review,approved,Final human adjudication: rent. Jd Terrace debit; housing/letting counterparty and direction indicate rent.. Native category: RENT_AND_UTILITIES_RENT. Provider: plaid. Luna votes: rent / rent / unclassified_other.
jjs pool,sports_participation,medium,gold_v2_review,approved,Final human adjudication: sports_participation. The charge is for participation in a virtual/physical sport rather than passive media. Luna votes: sports_participation / sports_participation / unclassified_other. Sources: https://cuescore.com/jjspoolhall/tournaments
job seekers allowance,unclassified_card_spend,medium,gold_v2_review,approved,Final human adjudication: unclassified_card_spend. The record is a card purchase but the merchant purpose is not identifiable. Luna votes: benefits_state / benefits_state / benefits_state.
jsm vending,confectionary,medium,gold_v2_review,approved,Small vending-machine purchase; product is not specified.
kaiser investm,investment_general,medium,gold_v2_review,approved,"Merchant and native category indicate investment, but not specifically trading."
kashing,entertainment_other,medium,gold_v2_review,approved,Final human adjudication: entertainment_other. The visible underlying merchant supplies or operates amusement/entertainment services. Luna votes: payment_intermediary / payment_intermediary / payment_intermediary.
keys totton,pub_bar,medium,gold_v2_review,approved,Keys Totton is a public house; fuel inference is unsupported.
kings pawfection,pet_other,medium,gold_v2_review,approved,Kings Pawfection is most consistent with pet grooming/care rather than supplies.
klic lpm,property_management,medium,gold_v2_review,approved,"KLIC LPM Ltd is a Rochdale lettings/property-management firm (SIC 68320), not a convenience shop. £334.60 FPS. If this customer is the tenant, rent is the alternative."
lakeland,health_beauty_general,medium,gold_v2_review,approved,Final human adjudication: health_beauty_general. The descriptor identifies cosmetics/beauty retail rather than kitchen goods. Luna votes: kitchen / kitchen / health_beauty_general. Sources: https://lakelandcosmetics.co.uk/
larkdance studios limi,sports_participation,medium,gold_v2_review,approved,"Dance-studio payment is participation in an activity, not a general gym membership."
last post,pub_bar,medium,gold_v2_review,approved,The Last Post is a pub name and the small amount is consistent with bar spend; descriptor is otherwise ambiguous.
littlejohn ck,cheque,medium,gold_v2_review,approved,CK marker and checking native category indicate a cheque transaction.
lmnext,holiday_package,medium,gold_v2_review,approved,LMNEXT UK Ltd is lastminute.com (OTA). Equifax luggage category is a false match.
longchamp,clothing_general,medium,gold_v2_review,approved,Final human adjudication: clothing_general. The visible underlying merchant is a clothing/accessories retailer. Luna votes: bnpl / bnpl / bnpl.
louis vuitton,clothing_general,medium,gold_v2_review,approved,Final human adjudication: clothing_general. The visible underlying merchant is a clothing/accessories retailer. Luna votes: clothing_general / foreign_spend_unspecified / foreign_spend_unspecified.
love and liquor,pub_bar,medium,gold_v2_review,approved,"Love & Liquor Codsall is an on-licence micropub, not an off-licence."
loxley colour,printing_services,medium,gold_v2_review,approved,Final human adjudication: printing_services. The merchant produces photographic prints rather than providing photography shoots. Luna votes: photography_services / photography_services / printing_services.
lps plumbing and h,tradesmen,medium,gold_v2_review,approved,Narrative names a plumbing contractor.
ltduk,health_beauty_general,medium,gold_v2_review,approved,Final human adjudication: health_beauty_general. The descriptor identifies cosmetics/beauty retail rather than kitchen goods. Luna votes: health_beauty_general / skin_hair_care / health_beauty_general.
lunesdale bakery,restaurant_cafe,medium,gold_v2_review,approved,Lunesdale Bakery is an artisan bakery with tea rooms.
m&co,clothing_general,medium,gold_v2_review,approved,Underlying M&Co retail purchase is clear despite the Zilch descriptor.
magic lantern,cinema,medium,gold_v2_review,approved,The Magic Lantern Limited (SIC 59140) is the Tywyn cinema. £7.20 matches a ticket.
manchester credit union,loan_disbursement,medium,gold_v2_review,approved,Final human adjudication: loan_disbursement. Credit from a lender/finance provider is money received rather than a repayment debit. Luna votes: loan_disbursement / loan_disbursement / credit_union_repayment.
mandm direct,clothing_general,medium,gold_v2_review,approved,Final human adjudication: clothing_general. The visible underlying merchant is a clothing/accessories retailer. Luna votes: clothing_general / catalogue_retail / clothing_general.
marsh wren dunefi,unclassified_other,medium,gold_v2_review,approved,Final human adjudication: unclassified_other. Marsh Wren Dunefi debit; merchant/function is not identifiable from the available evidence. Narrative: MARSH WREN DUNEFI PAULKICKSHORSE STO. Native category: GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES. Provider: plaid. Luna votes: unclassified_other / unclassified_other / unclassified_other.
marta,unclassified_other,medium,gold_v2_review,approved,Final human adjudication: unclassified_other. MARTA debit; merchant/function is not identifiable from the available evidence. Narrative: Marta ON 08 JUL CLP MARTA. Native category: OTHER_OTHER. Provider: plaid. Luna votes: unclassified_other / unclassified_other / unclassified_other.
match.com,personal_loan_repayment,medium,gold_v2_review,approved,"Payee is match the cash Ltd (Guarantor My Loan), not Match.com dating. £247.29 is a loan instalment."
metlife,insurance_life,medium,gold_v2_review,approved,MetLife is primarily a life and protection insurer.
